type;minutos;segudos;miliegundos;tempo;threads;entrada
sys;0;0;12;0.12;0;10x1M
sys;0;0;16;0.16;0;10x1M
sys;0;0;20;0.20;0;10x1M
sys;0;0;20;0.20;0;10x1M
sys;0;0;24;0.24;0;10x1M
sys;0;0;24;0.24;0;10x1M
sys;0;0;24;0.24;0;10x1M
sys;0;0;24;0.24;0;10x1M
sys;0;0;24;0.24;0;10x1M
sys;0;0;28;0.28;0;10x1M
sys;0;0;28;0.28;0;10x1M
sys;0;0;32;0.32;0;10x1M
sys;0;0;32;0.32;0;10x1M
sys;0;0;36;0.36;0;10x1M
sys;0;0;40;0.40;0;10x1M
sys;0;0;44;0.44;0;10x1M
sys;0;0;52;0.52;0;10x1M
sys;0;0;56;0.56;0;10x1M
sys;0;0;60;0.60;0;10x1M
sys;0;0;8;0.8;0;10x1M
user;0;28;667;28.667;0;10x1M
user;0;28;682;28.682;0;10x1M
user;0;28;692;28.692;0;10x1M
user;0;28;693;28.693;0;10x1M
user;0;28;695;28.695;0;10x1M
user;0;28;700;28.700;0;10x1M
user;0;28;700;28.700;0;10x1M
user;0;28;701;28.701;0;10x1M
user;0;28;705;28.705;0;10x1M
real;0;28;716;28.716;0;10x1M
real;0;28;716;28.716;0;10x1M
real;0;28;718;28.718;0;10x1M
real;0;28;718;28.718;0;10x1M
real;0;28;718;28.718;0;10x1M
real;0;28;718;28.718;0;10x1M
real;0;28;720;28.720;0;10x1M
user;0;28;722;28.722;0;10x1M
user;0;28;727;28.727;0;10x1M
real;0;28;728;28.728;0;10x1M
real;0;28;735;28.735;0;10x1M
user;0;28;735;28.735;0;10x1M
real;0;28;741;28.741;0;10x1M
real;0;28;744;28.744;0;10x1M
user;0;28;763;28.763;0;10x1M
user;0;28;774;28.774;0;10x1M
real;0;28;779;28.779;0;10x1M
real;0;28;781;28.781;0;10x1M
real;0;28;828;28.828;0;10x1M
user;0;28;853;28.853;0;10x1M
user;0;28;864;28.864;0;10x1M
user;0;28;879;28.879;0;10x1M
user;0;28;889;28.889;0;10x1M
real;0;28;892;28.892;0;10x1M
user;0;28;897;28.897;0;10x1M
real;0;28;911;28.911;0;10x1M
real;0;28;912;28.912;0;10x1M
real;0;28;915;28.915;0;10x1M
real;0;28;920;28.920;0;10x1M
user;0;28;977;28.977;0;10x1M
real;0;29;14;29.14;0;10x1M
sys;0;0;12;0.12;1;10x1M
sys;0;0;16;0.16;1;10x1M
sys;0;0;16;0.16;1;10x1M
sys;0;0;20;0.20;1;10x1M
sys;0;0;20;0.20;1;10x1M
sys;0;0;20;0.20;1;10x1M
sys;0;0;20;0.20;1;10x1M
sys;0;0;20;0.20;1;10x1M
sys;0;0;24;0.24;1;10x1M
sys;0;0;24;0.24;1;10x1M
sys;0;0;24;0.24;1;10x1M
sys;0;0;28;0.28;1;10x1M
sys;0;0;28;0.28;1;10x1M
sys;0;0;32;0.32;1;10x1M
sys;0;0;36;0.36;1;10x1M
sys;0;0;4;0.4;1;10x1M
sys;0;0;40;0.40;1;10x1M
sys;0;0;8;0.8;1;10x1M
sys;0;0;8;0.8;1;10x1M
sys;0;0;8;0.8;1;10x1M
real;0;29;102;29.102;1;10x1M
real;0;29;104;29.104;1;10x1M
user;0;29;160;29.160;1;10x1M
user;0;29;165;29.165;1;10x1M
real;0;29;172;29.172;1;10x1M
real;0;29;177;29.177;1;10x1M
user;0;29;203;29.203;1;10x1M
user;0;29;206;29.206;1;10x1M
real;0;29;234;29.234;1;10x1M
real;0;29;243;29.243;1;10x1M
user;0;29;313;29.313;1;10x1M
user;0;29;321;29.321;1;10x1M
real;0;29;323;29.323;1;10x1M
real;0;29;345;29.345;1;10x1M
user;0;29;422;29.422;1;10x1M
real;0;29;431;29.431;1;10x1M
user;0;29;47;29.47;1;10x1M
user;0;29;48;29.48;1;10x1M
user;0;29;50;29.50;1;10x1M
user;0;29;52;29.52;1;10x1M
user;0;29;538;29.538;1;10x1M
real;0;29;542;29.542;1;10x1M
user;0;29;59;29.59;1;10x1M
user;0;29;60;29.60;1;10x1M
user;0;29;62;29.62;1;10x1M
user;0;29;67;29.67;1;10x1M
real;0;29;68;29.68;1;10x1M
real;0;29;71;29.71;1;10x1M
user;0;29;72;29.72;1;10x1M
real;0;29;73;29.73;1;10x1M
user;0;29;74;29.74;1;10x1M
real;0;29;78;29.78;1;10x1M
user;0;29;80;29.80;1;10x1M
real;0;29;82;29.82;1;10x1M
user;0;29;82;29.82;1;10x1M
real;0;29;84;29.84;1;10x1M
real;0;29;90;29.90;1;10x1M
real;0;29;91;29.91;1;10x1M
real;0;29;92;29.92;1;10x1M
real;0;29;92;29.92;1;10x1M
sys;0;0;12;0.12;2;10x1M
sys;0;0;16;0.16;2;10x1M
sys;0;0;20;0.20;2;10x1M
sys;0;0;20;0.20;2;10x1M
sys;0;0;24;0.24;2;10x1M
sys;0;0;24;0.24;2;10x1M
sys;0;0;24;0.24;2;10x1M
sys;0;0;28;0.28;2;10x1M
sys;0;0;28;0.28;2;10x1M
sys;0;0;28;0.28;2;10x1M
sys;0;0;28;0.28;2;10x1M
sys;0;0;36;0.36;2;10x1M
sys;0;0;36;0.36;2;10x1M
sys;0;0;36;0.36;2;10x1M
sys;0;0;40;0.40;2;10x1M
sys;0;0;40;0.40;2;10x1M
sys;0;0;40;0.40;2;10x1M
sys;0;0;40;0.40;2;10x1M
sys;0;0;48;0.48;2;10x1M
sys;0;0;52;0.52;2;10x1M
real;0;16;152;16.152;2;10x1M
real;0;16;155;16.155;2;10x1M
real;0;16;156;16.156;2;10x1M
real;0;16;162;16.162;2;10x1M
