"type";"minutos";"segudos";"miliegundos";"tempo";"threads";"entrada"
"real";0;2;399;"2.399";0;"4k-a"
"real";0;2;397;"2.397";0;"4k-a"
"real";0;2;400;"2.400";0;"4k-a"
"real";0;2;405;"2.405";0;"4k-a"
"real";0;2;395;"2.395";0;"4k-a"
"real";0;2;406;"2.406";0;"4k-a"
"real";0;2;403;"2.403";0;"4k-a"
"real";0;2;397;"2.397";0;"4k-a"
"real";0;2;412;"2.412";0;"4k-a"
"real";0;2;397;"2.397";0;"4k-a"
"real";0;2;411;"2.411";0;"4k-a"
"real";0;2;398;"2.398";0;"4k-a"
"real";0;2;399;"2.399";0;"4k-a"
"real";0;2;402;"2.402";0;"4k-a"
"real";0;2;405;"2.405";0;"4k-a"
"real";0;2;400;"2.400";0;"4k-a"
"real";0;2;404;"2.404";0;"4k-a"
"real";0;2;401;"2.401";0;"4k-a"
"real";0;2;405;"2.405";0;"4k-a"
"real";0;2;397;"2.397";0;"4k-a"
"real";0;2;974;"2.974";0;"4k-b"
"real";0;2;690;"2.690";0;"4k-b"
"real";0;2;689;"2.689";0;"4k-b"
"real";0;2;702;"2.702";0;"4k-b"
"real";0;2;684;"2.684";0;"4k-b"
"real";0;2;698;"2.698";0;"4k-b"
"real";0;2;703;"2.703";0;"4k-b"
"real";0;2;693;"2.693";0;"4k-b"
"real";0;2;690;"2.690";0;"4k-b"
"real";0;2;700;"2.700";0;"4k-b"
"real";0;2;684;"2.684";0;"4k-b"
"real";0;2;691;"2.691";0;"4k-b"
"real";0;2;693;"2.693";0;"4k-b"
"real";0;2;684;"2.684";0;"4k-b"
"real";0;2;695;"2.695";0;"4k-b"
"real";0;2;685;"2.685";0;"4k-b"
"real";0;2;701;"2.701";0;"4k-b"
"real";0;2;687;"2.687";0;"4k-b"
"real";0;2;687;"2.687";0;"4k-b"
"real";0;2;698;"2.698";0;"4k-b"
"real";0;2;842;"2.842";0;"4k-c"
"real";0;2;579;"2.579";0;"4k-c"
"real";0;2;569;"2.569";0;"4k-c"
"real";0;2;573;"2.573";0;"4k-c"
"real";0;2;574;"2.574";0;"4k-c"
"real";0;2;581;"2.581";0;"4k-c"
"real";0;2;574;"2.574";0;"4k-c"
"real";0;2;572;"2.572";0;"4k-c"
"real";0;2;580;"2.580";0;"4k-c"
"real";0;2;567;"2.567";0;"4k-c"
"real";0;2;564;"2.564";0;"4k-c"
